Gene	granule	basket	astrocyte	oligo	opc
Slc6a7	621.875	5460.75	5890.25	5301.375	5218.75
Ctif	6229.625	7597.875	3982.125	6978.625	3490.25
Grxcr2	3571.5	3445.5	4211.5	3479.5	3376.25
Msln	3571.5	3445.5	4211.5	3479.5	3376.25
Fam91a1	3523.375	5961	6137.5	3798	8911.125
Me2	847.625	4109.5	8439.625	9707.75	5651.75
Syt4	143.75	10193.5	6857.375	2962.75	8339
Glp1r	3571.5	3445.5	4211.5	3479.5	3376.25
Sft2d3	2154.625	7224.5	3512.25	7924.875	8489.625
Rnase4	4763.125	4625.625	3296.5	4671.625	4547.125
Psmg2	2955.125	5003	8014	7686.375	7628.125
