Gene	granule	purkinje	basket	astrocyte	oligo	opc
Trappc4	5883.8	4694.200000000001	4772.3	5509	1600.3000000000002	6077.299999999999
Prpf6	4196.4	2766.5	3614.4	8958.900000000001	6652.4	8127.4
Samd10	3441.7	5192.8	1677.4	6730.1	7319.4	7456.7
Ccnd1	5163.2	4079	5202	4967.5	5078.8	48.3
Oxsr1	3708.2	8341.2	5484.2	5329	6693.799999999999	4059.5
Uckl1	6779.799999999999	10018.7	6907.7	1211.5	3885.3	5002.9
Myd88	3553.4	2262	3588	3311.8	3424.2	3777.2
Zfp512b	8663.099999999999	4894.4	6399.2	1010.7	10187.9	3185.8
Narf	2923.4	1140.4	6535.2	8730.3	4757	9213.3
Acvr2b	5621.5	4415	5704	5221.799999999999	2988.9	4777.700000000001
Mid1	3553.4	2262	3588	3311.8	3424.2	3777.2
Exog	3553.4	2262	3588	3311.8	3424.2	3777.2
Wdr45b	5125.9	6725.200000000001	5521.200000000001	7666.700000000001	2805.3	5738.1
Fem1b	1618.5	7846.6	3241.7	9672.400000000001	7119.8	4747.3
Scn5a	3553.4	2262	3588	3311.8	3424.2	3777.2
Fn3krp	6840.5	7607.9	2941.5	10562.1	973.1	5217.200000000001
Scn10a	3553.4	2262	3588	3311.8	3424.2	3777.2
Galk1	4583.6	3349.8999999999996	4622.4	2656.2	4515.2	4796.5
Itgb4	5003.2	3846.7	5050.8	4787.700000000001	886.6	5282.700000000001
Scn11a	3553.4	2262	3588	3311.8	3424.2	3777.2
Tbcd	7278.5	6166.799999999999	5844.8	8947.4	719.8	4277.9
B3gntl1	6962.299999999999	5818.9	7053.2	4862.8	3223.3	3799.4
Metrnl	3553.4	2262	3588	3311.8	3424.2	3777.2
Ptchd3	3553.4	2262	3588	3311.8	3424.2	3777.2
Calml4	3553.4	2262	3588	3311.8	3424.2	3777.2
Cln6	3553.4	2262	3588	3311.8	3424.2	3777.2
Pias1	7149.200000000001	10115.6	5036.8	1951.8	3812.2	5279.1
Ttc21a	3553.4	2262	3588	3311.8	3424.2	3777.2
Rfx7	2087.7	5843.299999999999	2950.9	9840.9	8355.3	5223.8
Csrnp1	5656.9	4460	5732.299999999999	4437.6	2102.4	5922.1
Cx3cr1	3553.4	2262	3588	3311.8	3424.2	3777.2
Gorasp1	7305.6	7504.3	3140.4	7024.799999999999	3897.2	4227.9
Wdr48	5288	9204.1	4730.9	1696.6	5125.5	8512.3
Skor1	5149.8	4050.8999999999996	564.8	4809.1	4974.2	5270.1
Nedd4	6338.6	10049.1	8358.2	2827.1	5039.200000000001	1796.8
Map2k5	6089.700000000001	9150.7	7836	5912	2020.8000000000002	3742.4
Slc25a38	5498.7	4310.2	5570.6	4330.5	2885.3999999999996	5743.2
Prtg	3553.4	2262	3588	3311.8	3424.2	3777.2
Rpsa	3989.3	4511.6	5843.9	5379.9	2769.8999999999996	5911.6
Iqch	5482.5	4300.700000000001	5554.4	2949.5	4413.4	5721.2
2300009A05Rik	3028.6	4396.5	943.0999999999999	10821.6	8422.3	6627
Unk	5976.6	9020	8733	1821.2	4396.6	4425
Eif1b	6635.2	2735.5	3881.9	10472.1	7118.5	1744.8000000000002
Entpd3	3553.4	2262	3588	3311.8	3424.2	3777.2
Gm29797	3339.3999999999996	4432.9	5782.1	5311.6	5631	3667
Sox18	3553.4	2262	3588	3311.8	3424.2	3777.2
Tcea2	5351.9	2798.2	997.7	8100.4	8526.8	7070.3
Pigb	1586	10104.2	3287.5	7507.5	4946.9	7086.9
Rab27a	2477.2	5621.9	1193	6201.9	6423.700000000001	6653.6
Unc13d	3553.4	2262	3588	3311.8	3424.2	3777.2
Rgs19	5785.299999999999	4546.2	4123.6	5373.6	5732.4	2759.8
Rsl24d1	6842.6	7410.9	2920.1000000000004	10644.1	4433.3	2746.4
Aagab	3468.3	4682.700000000001	1996.7	5823.9	8523.7	9745.900000000001
Wbp2	2742.2	9523.8	6433.700000000001	3059.8999999999996	3285.1	9057
Smad3	7991.8	7165.4	2561.3	118.8	7986.2	5517.8
Unc13c	217.6	7288.2	2559.8	7775.5	8048.8	5500.1
Smad6	3553.4	2262	3588	3311.8	3424.2	3777.2
Trim47	3553.4	2262	3588	3311.8	3424.2	3777.2
Onecut1	3553.4	2262	3588	3311.8	3424.2	3777.2
Trak1	3281.8	6489.5	5020.5	581.6	10355.900000000001	8561.8
Fam214a	8024.2	3236.4	7179	1831.9	9859.900000000001	3568.9
Cck	4948	258.1	4988.5	4734.8	4839.8	5111.1
