Gene	granule	basket	astrocyte	oligo	opc
Sft2d3	3051.25	4528.75	7433.125	3504.375	9880.875
Rnase4	3384.25	3422.25	3139	3262.25	3596
Psmg2	7996.125	3891.375	9129.75	6326.375	1306.25
Ppic	3384.25	3422.25	3139	3262.25	3596
Hs3st6	3384.25	3422.25	3139	3262.25	3596
Xrcc5	9356.25	6514.625	7597.125	3479	1658.5
Camk2g	8261.125	9976.875	91.75	6727.25	3610.25
Lifr	9009.5	9067.25	766.5	5052.25	3441.375
Nedd8	5269.875	4063.625	9233.25	8048.125	1829
Kcnv1	3384.25	3422.25	3139	3262.25	3596
8030462N17Rik	2753.5	1572.75	10318.625	5847	8191.625
Masp1	5095.875	1855	4613.625	4890.75	5143
Fam53c	5512.25	10563.75	7307.75	3143.125	2233.625
Gnpnat1	2733.25	2861.375	10338.25	5307.75	8424
Kifc5b	3384.25	3422.25	3139	3262.25	3596
Ndrg2	11127.25	8071.75	21	6418.375	3029.75
Cacna1d	6156.125	211.625	10548.375	3499.5	7881.5
Akap8	5364	3903.625	3699.625	7672.125	7878.125
Epsti1	3384.25	3422.25	3139	3262.25	3596
Pkmyt1	6237.375	6315.75	4957.125	893.25	6523
