Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KCNC4	239.13280421447212	1.8334546348589464	0.38040701691145773	4.819718231658422	1.4376111839467588e-6	1.2073840336632463e-5
PKD1L1	642.0361336899449	1.8344486592205178	0.330155191244934	5.556322323157372	2.7551789687973725e-8	2.859469186512498e-7
LUZP1	1749.0726776663996	1.837174044921298	0.23330213127997776	7.874656072972473	3.4168144147894175e-15	6.2422709810213e-14
LOC101927009	179.9028178725514	1.8413584263158234	0.35327260362768004	5.212287642481504	1.8652603176662138e-7	1.7667923985082906e-6
MLEC	334.58227889052534	1.851195000458923	0.3326745956661333	5.5645818002789484	2.627818404897233e-8	2.7305637371247463e-7
LOC105375545	170.9698092897271	1.854183423545015	0.39411247245645104	4.704706278357887	2.54231702489723e-6	2.0621015868610863e-5
TMEM108	7289.355633425803	1.8548902964211182	0.24354674660927617	7.616157153587161	2.613394766923778e-14	4.4855498871575673e-13
SRC	327.80645841701255	1.8571324794903166	0.34213510845579803	5.428067548730527	5.6967480835584765e-8	5.693786169476904e-7
ATL2	3726.689597730015	1.8574874804467583	0.22078096755313403	8.413259082215626	3.9877283494325573e-17	8.145417730051083e-16
ZBED3-AS1	284.3734289347853	1.8591841958698874	0.32089796970332635	5.793692610734569	6.885543412713352e-9	7.568410837570121e-8
IMPACT	180.71818862516443	1.8635457636331145	0.3633999425154818	5.128084915846465	2.9270442047771283e-7	2.706616343498081e-6
DENND2C	270.91874734688747	1.864271141935294	0.35582412310410005	5.239305097338446	1.6118237433355885e-7	1.5364276905481551e-6
TIFA	235.1161598871896	1.8725466967724882	0.3934958848518114	4.758745310583565	1.9480004565432926e-6	1.610241562286455e-5
KIAA1107	1286.0246925092933	1.8744796513675992	0.2663460952905647	7.037759083055732	1.9535607291811355e-12	2.9621870443087487e-11
SUSD5	127.74800917447985	1.8813231783119642	0.3938965797818966	4.776185615406121	1.7865150153219038e-6	1.4852713253284122e-5
TTC21A	304.77232657508927	1.884195987465336	0.3393677524998925	5.552077277778279	2.8229474089012217e-8	2.928046350203839e-7
TCTN1	204.43478277836022	1.885092180789734	0.3328003513525594	5.664333505443689	1.475970933224356e-8	1.571432191736282e-7
C20orf96	182.52019383651037	1.8855748760696647	0.4157315856901019	4.535558377022682	5.7451283968226125e-6	4.437342249706608e-5
HYOU1	164.243336789436	1.8984079253959423	0.42265703575866853	4.491603746731209	7.0688851824519234e-6	5.368691068551393e-5
CCDC184	115.30002487664349	1.8998852098711139	0.4285819322564074	4.4329568441407625	9.294947641984604e-6	6.884070597344847e-5
SLC29A1	162.1462927644695	1.900223269372984	0.42615364501297703	4.459009776427277	8.233916584308689e-6	6.15888416883375e-5
NT5DC3	359.0508245371901	1.9014436824487593	0.33335889380343997	5.703893664735751	1.1710114484922347e-8	1.256803292206213e-7
SPAG5-AS1	255.42381455113517	1.9023293484658024	0.32162516125474316	5.914740442085819	3.323993381233863e-9	3.788432772643417e-8
SIAE	663.0653123055763	1.9068948297662855	0.2551129097397426	7.474709263877057	7.737472707005673e-14	1.2822415258994748e-12
ABCG4	612.3597297266739	1.922690559977897	0.352288997376387	5.457708229030175	4.823193627075952e-8	4.871341094106307e-7
PROX2	196.40416362203976	1.9238271609089854	0.35550181475194964	5.411581829058538	6.247043571692432e-8	6.225812260014445e-7
ACSL6	3335.6341165526983	1.9263890460435384	0.23196850814010633	8.304528323646508	1.0021676058775838e-16	1.9952245971562804e-15
PXYLP1	174.2244224772203	1.9264767812358912	0.4116703646846114	4.6796586456054525	2.873529376554092e-6	2.312322406686621e-5
VEGFA	199.00309380855464	1.927095774902325	0.3387251873668365	5.689260340759061	1.2759082059588293e-8	1.3643070377808224e-7
UPP2	1040.604459120379	1.9273574202541754	0.25648646408057935	7.514460566810516	5.714607013333009e-14	9.560528432583283e-13
TNR	8511.212322225172	1.9312730332228103	0.31246178796081747	6.180829489028562	6.376566009524289e-10	7.758155311587884e-9
HYKK	187.84122576090402	1.9343534764720882	0.37911378200130563	5.102303235352775	3.3554453919137815e-7	3.079711444323625e-6
SH3KBP1	188.9048234886719	1.938027864115931	0.3698622737351235	5.239863597182793	1.6069533162187116e-7	1.5326295106890808e-6
LYNX1	306.853423578063	1.9404801363964328	0.3231337609912426	6.0051915666250135	1.911061299061317e-9	2.2340048334499894e-8
GUCY1B3	1005.9922876825873	1.941164273277538	0.2530644892906698	7.670630828997573	1.7115249423356197e-14	2.9700193608173074e-13
MUC20	148.1025059800481	1.9418018873835161	0.4058223474712989	4.784856968777075	1.7110913842166235e-6	1.4273670220989298e-5
LOC101929524	278.05253891054286	1.9422948492151317	0.3192596447806237	6.083746821649701	1.174059500922264e-9	1.3989258557476647e-8
CABP1	1750.4507274955542	1.9466149473564314	0.26819962263214087	7.258082350199214	3.926165139248918e-13	6.226084608079334e-12
LINC00970	1447.5202256237421	1.9484443517761763	0.2866422208526282	6.797478563975867	1.0646598379882198e-11	1.528604137513211e-10
THBS4	392.6866190702069	1.9522277514780269	0.3570910763116587	5.467030348790288	4.576377230290902e-8	4.6328790205537094e-7
RAB3A	389.1771178584671	1.9536535556378	0.4042658976999779	4.832595494086631	1.347644327415712e-6	1.136237549152984e-5
AMOTL2	191.75929727414484	1.9542699300845363	0.35489357999593396	5.506636468619485	3.657544523659498e-8	3.735488654299467e-7
SLC45A2	108.70681375196048	1.9551963689299237	0.4127242555578361	4.737294555870698	2.1659024498443735e-6	1.7793104598650288e-5
AMMECR1	4019.7829501631077	1.9573827880034282	0.27165004396639264	7.205530908162073	5.781812663259341e-13	9.06900642674976e-12
RALB	260.5982260509385	1.9581483275409715	0.42408716515373357	4.61732513605106	3.887179868967424e-6	3.07649125860043e-5
