Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
LOC102549842	18997.9	16946.199999999997	19076.6	14686.8	2958	9441.4
LOC102547287	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Gm26965	7586.700000000001	12047.5	24939.699999999997	19390.5	6766.8	25039
rno-mir-29b-2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
rno-mir-3556b-1	3625.6	7662.6	9946.599999999999	10086.900000000001	9520.4	9886
AABR07001151.1	9987.2	1596.1999999999998	9969.6	10081.7	9593.7	9925.4
LOC100912293	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC102551340	24686.6	12683.4	24358.5	15057.2	1068.8	9486.8
LOC501406	14505.1	12369.7	8768.7	14655	4389.7	14336.7
AABR07001207.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001210.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001233.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001348.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ppp1r14c	15517.4	13720.6	15577.5	6361.2	15288.7	1899.8
Iyd	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001358.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Plekhg1	10282.8	8237	10282.6	10499.8	987	10371.8
Mthfd1l	1466	18029.1	10201	19754.5	14145.4	19668.4
AABR07001367.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Akap12	647.3	18685.6	13543.1	9833.099999999999	20059.8	20230.3
Zbtb2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rmnd1	25005.199999999997	22724	2809.3	13294.3	24302.199999999997	8353.6
Armt1	14610.6	12511.5	9702.4	9933.2	3653.5	14517.9
AABR07001374.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ccdc170	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Esr1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
